RegionID,SizeRank,RegionName,RegionType,StateName,2018-01-31,2018-02-28,2018-03-31,2018-04-30,2018-05-31,2018-06-30,2018-07-31,2018-08-31,2018-09-30,2018-10-31,2018-11-30,2018-12-31,2019-01-31,2019-02-28,2019-03-31,2019-04-30,2019-05-31,2019-06-30,2019-07-31,2019-08-31,2019-09-30,2019-10-31,2019-11-30,2019-12-31,2020-01-31,2020-02-29,2020-03-31,2020-04-30,2020-05-31,2020-06-30,2020-07-31,2020-08-31
753899,2,"Los Angeles-Long Beach-Anaheim, CA",Msa,CA,6651.333333333333,6626.0,7774.0,8558.333333333334,9360.666666666666,9328.666666666666,9378.333333333334,9147.0,8576.666666666666,8130.0,7307.666666666667,6571.0,6062.333333333333,6176.666666666667,7410.666666666667,8471.333333333334,9463.666666666666,9558.333333333334,9681.0,9516.333333333334,9245.666666666666,8897.0,8116.666666666667,7239.666666666667,6553.666666666667,6684.666666666667,7110.666666666667,6314.0,5999.666666666667,6682.666666666667,8551.0,9585.333333333334
394463,3,"Chicago, IL",Msa,IL,7523.333333333333,8026.666666666667,10484.0,12723.333333333334,14357.333333333334,14185.0,13422.333333333334,12536.666666666666,11284.0,10341.333333333334,9010.0,7853.0,7276.0,7837.666666666667,10307.333333333334,12595.666666666666,14303.666666666666,14317.333333333334,13575.666666666666,12563.333333333334,11527.333333333334,10627.333333333334,9483.333333333334,8211.0,7920.0,9015.333333333334,10933.666666666666,10665.0,11141.666666666666,12674.333333333334,15557.666666666666,16758.333333333332
394514,4,"Dallas-Fort Worth, TX",Msa,TX,6096.333333333333,6000.666666666667,6534.666666666667,7451.333333333333,8292.666666666666,8620.333333333334,8578.666666666666,8311.333333333334,7855.0,7169.0,6486.0,5853.333333333333,5512.666666666667,5729.0,6682.666666666667,7789.666666666667,8531.0,8747.0,8776.0,8546.666666666666,8132.666666666667,7519.666666666667,6958.333333333333,6432.0,6142.333333333333,6484.0,7358.333333333333,7280.666666666667,7827.0,8606.666666666666,10189.333333333334,10594.333333333334
394692,6,"Houston, TX",Msa,TX,5652.666666666667,5888.0,6861.0,7834.333333333333,8658.333333333334,8888.333333333334,8779.333333333334,8486.0,7675.0,7067.0,6285.666666666667,5782.0,5624.666666666667,6018.0,7175.666666666667,8145.666666666667,8835.333333333334,9052.0,8947.0,8620.666666666666,7991.666666666667,7368.666666666667,6737.0,6138.333333333333,6022.0,6514.0,7365.666666666667,7209.0,7824.666666666667,8862.333333333334,10252.0,10357.333333333334
394856,8,"Miami-Fort Lauderdale, FL",Msa,FL,4667.0,4859.333333333333,5515.0,5889.666666666667,6163.0,5932.333333333333,5563.666666666667,5301.333333333333,5031.0,4950.666666666667,4572.666666666667,4208.333333333333,4145.0,4719.0,5893.666666666667,6702.333333333333,6994.333333333333,6721.333333333333,6427.0,6156.666666666667,5889.666666666667,5788.0,5520.333333333333,5207.333333333333,5189.333333333333,5776.333333333333,6256.333333333333,5294.0,4808.333333333333,5275.666666666667,6730.333333333333,7340.0
394347,9,"Atlanta, GA",Msa,GA,7249.666666666667,7488.333333333333,8946.333333333334,10100.333333333334,10976.333333333334,11010.0,10737.0,10498.333333333334,9777.666666666666,9245.333333333334,8161.0,7295.333333333333,7045.0,7617.0,9416.666666666666,10607.333333333334,11654.0,11685.0,11415.0,10843.0,10239.0,9773.333333333334,9074.0,8160.333333333333,8007.666666666667,8397.666666666666,9544.666666666666,9126.666666666666,9684.666666666666,10398.0,11808.0,12234.333333333334
394404,10,"Boston, MA",Msa,MA,2502.6666666666665,2360.3333333333335,2983.3333333333335,3861.6666666666665,4878.0,5418.666666666667,5251.0,4598.666666666667,3930.6666666666665,3770.3333333333335,3427.0,2893.3333333333335,2451.6666666666665,2431.3333333333335,3137.3333333333335,3974.0,4843.333333333333,5193.333333333333,4889.0,4372.333333333333,4008.6666666666665,3988.3333333333335,3770.3333333333335,3074.6666666666665,2510.6666666666665,2519.6666666666665,3149.3333333333335,3102.0,3334.3333333333335,3819.0,4612.666666666667,4810.0
395025,13,"Riverside, CA",Msa,CA,4036.6666666666665,4101.333333333333,4735.666666666667,5094.0,5501.666666666667,5420.666666666667,5422.666666666667,5269.666666666667,5100.0,4844.666666666667,4380.666666666667,3852.0,3736.6666666666665,3845.6666666666665,4611.666666666667,5148.666666666667,5851.333333333333,6035.666666666667,6161.0,6056.333333333333,5829.666666666667,5657.666666666667,5183.0,4715.0,4536.666666666667,4921.333333333333,5325.0,4863.666666666667,4841.333333333333,5419.666666666667,6446.0,6678.0
394976,14,"Phoenix, AZ",Msa,AZ,"","","","","","","","","","","","","",4383.333333333333,5300.333333333333,6020.666666666667,6451.666666666667,6373.333333333333,6083.0,5773.333333333333,5529.333333333333,5317.333333333333,5002.333333333333,4653.333333333333,4684.666666666667,5057.666666666667,5548.666666666667,5275.0,5282.0,5595.333333333333,6108.666666666667,6198.0
394865,16,"Minneapolis-St Paul, MN",Msa,MN,1510.3333333333333,1391.0,1617.0,1929.0,2309.3333333333335,2484.3333333333335,2576.3333333333335,2510.6666666666665,2388.0,2290.6666666666665,2070.3333333333335,1786.0,1529.3333333333333,1587.3333333333333,1981.3333333333333,2586.0,3185.3333333333335,3629.3333333333335,3784.3333333333335,3732.6666666666665,3503.0,3298.6666666666665,2907.0,2529.6666666666665,2150.0,2153.0,2603.6666666666665,2882.3333333333335,3177.3333333333335,3448.0,3902.6666666666665,4272.666666666667
