RegionID,SizeRank,RegionName,RegionType,StateName,2018-01-31,2018-02-28,2018-03-31,2018-04-30,2018-05-31,2018-06-30,2018-07-31,2018-08-31,2018-09-30,2018-10-31,2018-11-30,2018-12-31,2019-01-31,2019-02-28,2019-03-31,2019-04-30,2019-05-31,2019-06-30,2019-07-31,2019-08-31,2019-09-30,2019-10-31,2019-11-30,2019-12-31,2020-01-31,2020-02-29,2020-03-31,2020-04-30,2020-05-31,2020-06-30,2020-07-31,2020-08-31
394666,96,"Harrisburg, PA",Msa,PA,79.0,81.0,73.0,61.0,50.0,45.0,43.0,42.0,45.0,47.0,50.0,54.0,60.0,61.0,55.0,48.0,40.0,39.0,39.0,40.0,39.0,40.0,41.0,43.0,47.0,52.0,50.0,46.0,42.0,42.0,40.0,35.0
395006,100,"Provo, UT",Msa,UT,47.0,47.0,41.0,36.0,33.0,28.0,27.0,28.0,32.0,32.0,34.0,36.0,41.0,45.0,43.0,36.0,33.0,33.0,35.0,34.0,36.0,37.0,45.0,48.0,50.0,46.0,36.0,30.0,24.0,26.0,24.0,23.0
394549,104,"Durham, NC",Msa,NC,53.0,49.0,39.0,30.0,27.0,28.0,30.0,31.0,33.0,35.0,39.0,44.0,48.0,48.0,40.0,34.0,28.0,30.0,31.0,33.0,35.0,36.0,40.0,44.0,49.0,46.0,40.0,34.0,31.0,30.0,31.0,31.0
394995,119,"Port St. Lucie, FL",Msa,FL,85.0,84.0,82.0,79.0,80.0,79.0,79.0,76.0,75.0,74.0,72.0,70.0,75.0,81.0,86.0,87.0,87.0,86.0,83.0,81.0,82.0,86.0,87.0,91.0,89.0,87.0,86.0,84.0,85.0,83.0,84.0,80.0
395183,124,"Vallejo, CA",Msa,CA,36.0,34.0,31.0,25.0,24.0,24.0,26.0,28.0,32.0,36.0,40.0,44.0,50.0,52.0,47.0,41.0,35.0,35.0,34.0,34.0,35.0,37.0,41.0,43.0,46.0,43.0,36.0,32.0,30.0,31.0,27.0,24.0
394746,128,"Killeen, TX",Msa,TX,71.0,70.0,60.0,53.0,48.0,41.0,40.0,40.0,45.0,50.0,89.0,89.0,93.0,56.0,52.0,43.0,37.0,35.0,37.0,36.0,39.0,47.0,51.0,53.0,48.0,50.0,43.0,39.0,35.0,36.0,34.0,32.0
395048,132,"Salem, OR",Msa,OR,56.0,52.0,45.0,37.0,34.0,33.0,34.0,35.0,36.0,37.0,43.0,53.0,61.0,59.0,57.0,53.0,51.0,49.0,46.0,46.0,47.0,50.0,55.0,65.0,70.0,70.0,55.0,48.0,42.0,43.0,42.0,37.0
394927,149,"Ocala, FL",Msa,FL,84.0,84.0,82.0,78.0,72.0,70.0,66.0,68.0,68.0,69.0,68.0,69.0,70.0,68.0,66.0,64.0,70.0,68.0,68.0,65.0,68.0,66.0,65.0,66.0,70.0,71.0,67.0,65.0,62.0,63.0,62.0,60.0
394602,159,"Fort Collins, CO",Msa,CO,61.0,61.0,54.0,46.0,38.0,36.0,34.0,36.0,42.0,51.0,59.0,63.0,71.0,75.0,83.0,79.0,70.0,52.0,40.0,38.0,43.0,49.0,53.0,56.0,57.0,57.0,49.0,41.0,35.0,37.0,36.0,37.0
394405,162,"Boulder, CO",Msa,CO,64.0,57.0,45.0,31.0,26.0,25.0,29.0,34.0,39.0,45.0,52.0,62.0,62.0,61.0,54.0,51.0,48.0,46.0,44.0,45.0,48.0,51.0,53.0,60.0,66.0,63.0,50.0,36.0,31.0,30.0,32.0,32.0
394471,172,"Clarksville, TN",Msa,TN,75.0,78.0,73.0,66.0,55.0,48.0,46.0,43.0,46.0,46.0,52.0,56.0,62.0,66.0,64.0,60.0,54.0,52.0,55.0,54.0,56.0,58.0,64.0,72.0,73.0,76.0,64.0,58.0,51.0,53.0,52.0,51.0
394645,177,"Greeley, CO",Msa,CO,46.0,48.0,43.0,38.0,29.0,28.0,28.0,32.0,36.0,42.0,47.0,53.0,56.0,51.0,44.0,37.0,37.0,34.0,33.0,32.0,33.0,36.0,39.0,43.0,43.0,40.0,33.0,28.0,24.0,24.0,26.0,27.0
394813,189,"Macon-Bibb County, GA",Msa,GA,104.0,91.0,86.0,78.0,75.0,67.0,59.0,63.0,61.0,63.0,62.0,67.0,71.0,71.0,65.0,56.0,51.0,55.0,56.0,66.0,76.0,78.0,76.0,71.0,78.0,77.0,77.0,67.0,66.0,64.0,65.0,63.0
394346,220,"Athens, GA",Msa,GA,97.0,89.0,66.0,54.0,58.0,60.0,58.0,55.0,58.0,66.0,72.0,84.0,91.0,92.0,78.0,70.0,63.0,56.0,56.0,52.0,62.0,64.0,73.0,71.0,74.0,74.0,71.0,60.0,51.0,51.0,52.0,50.0
394623,229,"Gainesville, GA",Msa,GA,82.0,76.0,69.0,57.0,54.0,49.0,49.0,55.0,58.0,63.0,62.0,65.0,70.0,71.0,69.0,65.0,62.0,58.0,55.0,60.0,59.0,63.0,58.0,63.0,70.0,77.0,75.0,66.0,56.0,62.0,64.0,68.0
395246,244,"Yuba City, CA",Msa,CA,51.0,56.0,51.0,40.0,33.0,30.0,30.0,32.0,38.0,42.0,45.0,45.0,48.0,47.0,43.0,34.0,29.0,28.0,29.0,30.0,32.0,35.0,41.0,45.0,44.0,44.0,39.0,38.0,37.0,36.0,33.0,28.0
395009,251,"Punta Gorda, FL",Msa,FL,69.0,72.0,73.0,72.0,70.0,74.0,76.0,80.0,73.0,74.0,68.0,68.0,67.0,71.0,80.0,83.0,89.0,85.0,88.0,87.0,87.0,82.0,81.0,81.0,84.0,83.0,81.0,73.0,73.0,75.0,79.0,76.0
395007,253,"Pueblo, CO",Msa,CO,52.0,63.0,60.0,58.0,48.0,46.0,46.0,45.0,52.0,51.0,61.0,81.0,85.0,82.0,59.0,52.0,45.0,43.0,50.0,47.0,57.0,54.0,71.0,77.0,77.0,68.0,55.0,"",47.0,42.0,34.0,38.0
395094,331,"Sherman, TX",Msa,TX,64.0,59.0,58.0,46.0,55.0,65.0,55.0,42.0,31.0,43.0,52.0,61.0,67.0,68.0,68.0,65.0,67.0,69.0,67.0,65.0,67.0,69.0,71.0,71.0,78.0,85.0,84.0,73.0,68.0,64.0,68.0,64.0
394546,343,"Dunn, NC",Msa,NC,110.0,95.0,86.0,78.0,68.0,62.0,56.0,58.0,63.0,66.0,68.0,71.0,77.0,74.0,67.0,55.0,52.0,45.0,47.0,47.0,50.0,47.0,51.0,57.0,62.0,57.0,49.0,44.0,38.0,35.0,33.0,42.0
395166,383,"Truckee, CA",Msa,CA,87.0,85.0,64.0,56.0,46.0,44.0,41.0,45.0,49.0,60.0,70.0,68.0,72.0,71.0,73.0,68.0,64.0,56.0,52.0,54.0,60.0,65.0,66.0,70.0,74.0,74.0,69.0,63.0,54.0,53.0,47.0,47.0
395153,399,"The Villages, FL",Msa,FL,59.0,69.0,76.0,67.0,53.0,42.0,48.0,54.0,59.0,64.0,56.0,54.0,56.0,70.0,73.0,61.0,55.0,59.0,64.0,60.0,57.0,54.0,58.0,56.0,54.0,54.0,55.0,54.0,53.0,48.0,52.0,51.0
394586,504,"Faribault, MN",Msa,MN,"","",104.0,94.0,71.0,56.0,28.0,32.0,39.0,51.0,60.0,66.0,71.0,73.0,71.0,73.0,62.0,52.0,41.0,46.0,48.0,50.0,55.0,64.0,64.0,63.0,58.0,54.0,46.0,46.0,48.0,46.0
394309,527,"Albemarle, NC",Msa,NC,79.0,83.0,79.0,64.0,56.0,55.0,53.0,50.0,46.0,47.0,50.0,76.0,80.0,76.0,51.0,55.0,64.0,62.0,54.0,49.0,51.0,58.0,59.0,60.0,59.0,60.0,65.0,67.0,60.0,54.0,47.0,52.0
394742,595,"Kerrville, TX",Msa,TX,113.0,107.0,131.0,133.0,142.0,110.0,89.0,69.0,74.0,69.0,70.0,69.0,82.0,84.0,94.0,94.0,99.0,87.0,94.0,81.0,94.0,89.0,99.0,101.0,113.0,109.0,90.0,86.0,100.0,120.0,110.0,115.0
395230,672,"Wilmington, OH",Msa,OH,"",62.0,62.0,49.0,35.0,24.0,22.0,23.0,27.0,31.0,39.0,47.0,58.0,57.0,63.0,49.0,42.0,30.0,28.0,36.0,34.0,32.0,34.0,42.0,50.0,51.0,53.0,47.0,41.0,32.0,30.0,23.0
